sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchCCat066,OchCCat066.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat068,OchCCat068.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat069,OchCCat069.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat070,OchCCat070.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat071,OchCCat071.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat072,OchCCat072.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat074,OchCCat074.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat075,OchCCat075.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat076,OchCCat076.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat077,OchCCat077.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat079,OchCCat079.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat080,OchCCat080.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat081,OchCCat081.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat082,OchCCat082.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat083,OchCCat083.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat084,OchCCat084.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat085,OchCCat085.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat086,OchCCat086.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
